Timestamp,CPU(m),Memory(Mi)
2025-11-30 02:03:50.642,83m,1Mi
2025-11-30 02:03:51.300,83m,1Mi
2025-11-30 02:03:51.958,83m,1Mi
2025-11-30 02:03:52.608,83m,1Mi
2025-11-30 02:03:53.266,83m,1Mi
2025-11-30 02:03:53.922,83m,1Mi
2025-11-30 02:03:54.584,83m,1Mi
2025-11-30 02:03:55.244,83m,1Mi
2025-11-30 02:03:55.898,83m,1Mi
2025-11-30 02:03:56.552,83m,1Mi
2025-11-30 02:03:57.217,83m,1Mi
2025-11-30 02:03:57.870,83m,1Mi
2025-11-30 02:03:58.528,83m,1Mi
2025-11-30 02:03:59.194,0m,1Mi
2025-11-30 02:03:59.850,0m,1Mi
2025-11-30 02:04:00.505,0m,1Mi
2025-11-30 02:04:01.165,0m,1Mi
2025-11-30 02:04:01.812,0m,1Mi
2025-11-30 02:04:02.464,0m,1Mi
2025-11-30 02:04:03.130,0m,1Mi
2025-11-30 02:04:03.787,0m,1Mi
2025-11-30 02:04:04.440,0m,1Mi
2025-11-30 02:04:05.101,0m,1Mi
2025-11-30 02:04:05.758,0m,1Mi
2025-11-30 02:04:06.418,0m,1Mi
2025-11-30 02:04:07.079,0m,1Mi
2025-11-30 02:04:07.736,0m,1Mi
2025-11-30 02:04:08.392,0m,1Mi
2025-11-30 02:04:09.053,0m,1Mi
2025-11-30 02:04:09.712,0m,1Mi
2025-11-30 02:04:10.358,0m,1Mi
2025-11-30 02:04:11.015,0m,1Mi
2025-11-30 02:04:11.673,0m,1Mi
2025-11-30 02:04:12.329,0m,1Mi
2025-11-30 02:04:12.985,0m,1Mi
2025-11-30 02:04:13.640,0m,1Mi
